"order_detail_id"|"order_id"|"product_id"|"customer_id"|"quantity_sold"
1|1|1|1|2
2|1|2|2|1
3|2|3|3|4
4|2|4|4|2
5|3|5|1|3
6|3|6|2|1
7|4|7|3|5
8|4|8|4|2
9|5|9|2|3
10|5|10|3|4
11|6|1|4|2
12|6|2|2|1
13|7|3|4|5
14|7|4|3|2
15|8|5|3|3
16|8|6|3|1
17|9|7|3|4
18|9|8|3|2
19|10|9|3|3
20|10|10|2|5
21|11|1|3|2
22|11|2|2|4
23|12|3|1|3
24|12|4|2|5
25|13|5|2|1
26|13|6|2|2
27|14|7|2|4
28|14|8|3|3
29|15|9|2|2
30|15|10|2|1
31|16|1|2|5
32|16|2|2|3
33|17|3|2|4
34|17|4|2|2
35|18|5|2|1
36|18|6|2|4
37|19|7|2|2
38|19|8|3|5
39|20|9|4|3
40|20|10|4|1
41|21|1|4|4
42|21|2|4|2
43|22|3|4|5
44|22|4|4|3
45|23|5|4|1
46|23|6|4|2
47|24|7|4|4
48|24|8|4|3
49|25|9|4|5
50|25|10|4|1
51|26|1|1|2
52|26|2|2|1
53|27|3|3|4
54|27|4|4|2
55|28|5|6|3
56|28|6|7|1
57|29|7|8|5
58|29|8|9|2
59|30|9|8|3
60|30|10|7|4
61|31|1|6|2
62|31|2|5|1
63|32|3|4|5
64|32|4|3|2
65|33|5|2|3
66|33|6|2|1
67|34|7|1|4
68|34|8|3|2
69|35|9|3|3
70|35|10|3|5
71|36|1|5|2
72|36|2|6|4
73|37|3|7|3
74|37|4|8|5
75|38|5|9|1
76|38|6|8|2
77|39|7|7|4
78|39|8|3|3
79|40|9|6|2
80|40|10|5|1
81|41|1|1|5
82|41|2|4|3
83|42|3|9|4
84|42|4|3|2
85|43|5|2|1
86|43|6|9|4
87|44|7|1|2
88|44|8|8|5
89|45|9|7|3
90|45|10|6|1
91|46|1|5|4
92|46|2|4|2
93|47|3|3|5
94|47|4|2|3
95|48|5|9|1
96|48|6|8|2
97|49|7|7|4
98|49|8|6|3
99|50|9|5|5
100|50|10|4|1
